,name,description,category
8,Get back to work! Chinese state-sponsored media calls for 'normalcy' despite deadly virus,"The Global Times, a Chinese tabloid newspaper that is widely regarding as being the mouthpiece of the Communist state, has called on workers and businesses alike to return to normalcy amid the unfolding Coronavirus horror. It told of how medical goods and other necessities vital to China’s citizens would be affected should the resumption to ...",World
232,The 13 ‘dangerous’ coronavirus myths blasted by the World Health Organization,"WORLD health chiefs are cracking down on ""dangerous"" myths circulating as the deadly coronavirus outbreak continues it's spread. Popular apps and social media platforms have become swamped with unverified information about how to stop yourself getting coronavirus, the World Health Organization warned. The new coronavirus (2019-nCoV) in an ...",Health
493,"Why airplane toilets still contain ashtrays, even though you can't smoke","From the reason behind turning your phone to airplane mode to why your blinds have to be up during take off; if there are interesting facts about plane travel, we want to know about them. The latest trivia doing the round revolves around ashtrays, and why airplanes still have them. Despite airlines imposing a ban on smoking cigarettes ...",ScienceAndTechnology
210,DEATH drama on the cards in Neighbours for THIS Ramsay Street favourite,Yashvi Rebecchi is about to find her life on the line in today's Neighbours... It seems Ned Willis’s plan to keep girlfriend Yashvi Rebecchi safe from dangerous gang member Zenin has fallen flat in today’s Neighbours when she finds her life in serious danger. Neighbours fans have watched in horror as Ned and Yashvi have been targeted by a ...,Entertainment
275,Should California invest another $5.5 Billion into stem cell research?,"Over the past 15 years, California’s stem cell program has funded over 1,000 research, training and community engagement projects focused on stem cell technology in the state. But in October of last year, the agency in charge of administering the state’s stem cell program awarded its last round of new funds, allocating the last of a total ...",Health
293,"Heartbreak as 14-year-old dies of rare brain cancer just weeks after £300,000 was raised to fund life-saving treatment","Lily Wythe had a deadly form of brain cancer and needed £300,000 to pay for crucial treatment in the US A 14-year-old girl has tragically lost her battle with cancer, just weeks after £300,000 was raised to pay for her life-saving treatment. Lily Wythe passed away on Saturday (February 15) after being diagnosed with cancer just five months ago.",Health
371,Police to hold bike-marking event on Bournville,"The event, run by Avon and Somerset Constabulary, takes place at the Healthy Living Centre, in Lonsdale Avenue, between 10am and 4pm. Officers will be on hand to help bicycle owners register their bikes on the BikeRegister database and discreetly security-mark their bikes. The BikeRegister database is used by police forces throughout the UK and ...",Politics
609,"ROKiT Williams Racing Unveil Their 2020 Challenger, the…","Williams Racing has become the latest team to unveil its 2020 Formula 1 challenger, with the FW43 being revealed on Monday morning. Deputy Team Principal of the Grove-based team, Claire Williams, says 2020 marks a fresh start for the team as they look to turn around their fortunes. She says the team has been working hard behind the scenes on ...",Sports
214,Ant & Dec devastated by Caroline Flack's death as they pay tribute to former Love Island host,"Ant & Dec took to Twitter to pay tribute to Caroline Flack following the TV presenter's death at the age of 40 Like many other celebrities, Ant & Dec have paid tribute to TV presenter Caroline Flack after her death at the age of 40. There were shockwaves sent across the country early on Saturday evening when, following widespread reports, the ...",Entertainment
137,Truly Independent and Frenkel Topping's DFM establish joint venture,"The deal is a venture between Frenkel Topping's discretionary fund management arm Ascencia Investment Management and Truly Independent, which will serve Truly's 50 financial advisers with investment services. It is the first time Frenkel Topping has expanded its investment service to external IFAs since Ascencia was launched in 2016. Since then ...",Business
346,No further answers on £265k settlement with former county council boss,No further answers on an alleged six-figure settlement to the former boss of West Sussex County Council were released at a meeting last week. Nathan Elvery left the authority ‘by mutual consent’ back in November after being ‘away from duties’ for ...,Politics
